name,latitude,longitude,tag,score
한국방송공사,37.5259698897016,126.916716838156,방송국,1
㈜문화방송,37.5811234199086,126.890988995582,방송국,1
㈜에스비에스,37.5291902429029,126.87374657727,방송국,1
(재)국악방송,37.580854283154,126.88933208115,방송국,1
(재)국제방송교류재단,37.479126769477,127.008047253555,방송국,1
(재)극동방송,37.549444564404,126.923397179436,방송국,1
(재)기독교방송,37.5282318199269,126.874990723123,방송국,1
(재)불교방송,37.5384252113104,126.94498558914,방송국,1
(재)원음방송,37.526981693329,126.871394248566,방송국,1
(재)가톨릭평화방송,37.5643829657043,126.988433093681,방송국,1
서울특별시 미디어재단 티비에스,37.5757269662412,126.889972593033,방송국,1
㈜매일방송,37.5605459732738,126.992880571124,방송국,1
제이티비씨㈜,37.5766140945901,126.889693255443,방송국,1
㈜조선방송,37.5682647168024,126.975857118806,방송국,1
㈜채널에이,37.5695464451533,126.978020308327,방송국,1
㈜연합뉴스티브이,37.5743642341595,126.98051726008,방송국,1
㈜와이티엔,37.5791943482019,126.892314544858,방송국,1
